objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,pulbibid,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
3217321,rht16th-26.jpg,,,"""Charlotte G. Bedingfeld, []. 1820.""",Charlotte G. Bedingfeld,1820,"Inscription within Elyot, Thomas. The image of governance. 1541",Solo;Inscription,2903084,46.725562,-117.009633,PUL HSVR,3217321,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
3214926,rht17th-223.jpg,,,"""Frances Wolfreston [] book. []""",Frances Wolfreston,,"Inscription within Du Bartas, Guillaume de Salluste. Bartas. 1605",Solo;Inscription,2900718,,,PUL HSVR,3214926,Image;StillImage,image/jpeg,eng,,
3244796,rht17th-174.jpg,,,"""Ex Libris - Hannah D. Rabinowitz.""",Hannah D. Rabinowitz,,"Bookplate within Dekker, Thomas. North-vvard Hoe . 1607",Solo;Bookplate,2930237,,,PUL HSVR,3244796,Image;StillImage,image/jpeg,eng,,
3222408,rht17th-313.jpg,,,"""Ex Libris - Hannah D. Rabinowitz.""",Hannah D. Rabinowitz,,"Bookplate within Heywood, Thomas. The Golden Age. 1611",Solo;Bookplate,2908105,,,PUL HSVR,3222408,Image;StillImage,image/jpeg,eng,,
3181302,rht17th-317.jpg,,,"""Ex Libris - Hannah D. Rabinowitz.""",Hannah D. Rabinowitz,,"Bookplate within Heywood, Thomas. The Silver Age, Including. 1613",Solo;Bookplate,2867747,,,PUL HSVR,3181302,Image;StillImage,image/jpeg,eng,,
3305134,rht17th-579.jpg,,,"""Ex Libris - Hannah D. Rabinowitz.""",Hannah D. Rabinowitz,,"Bookplate within D. T. (Daniel Tuvill). The dove, and the serpent. 1614",Solo;Bookplate,2989377,,,PUL HSVR,3305134,Image;StillImage,image/jpeg,eng,,
3303149,rht17th-515.jpg,,,"""Ex Libris - Hannah D. Rabinowitz.""",Hannah D. Rabinowitz,,"Bookplate within Shakespeare, William. A most pleasant and excellent conceited comedy, of Sir Iohn Falstaffe. 1619",Solo;Bookplate,2987442,,,PUL HSVR,3303149,Image;StillImage,image/jpeg,eng,,
3323286,rht17th-623.jpg,,,"""The Library of David and Lulu Borowitz.""",Lulu Borowitz,,"Bookplate within Wotton, Henry. The elements of architecture. 1624",Family;Bookplate,3007216,,,PUL HSVR,3323286,Image;StillImage,image/jpeg,eng,,
4217996,rht17th-473.jpg,,,"""Ann.""",Ann,,"Inscription within Quarles, Francis. Divine poems. 1630",Solo;Inscription,3922559,,,PUL HSVR,4217996,Image;StillImage,image/jpeg,eng,,
3331269,rht17th-325.jpg,,,Mary Elizabeth Hudson,Mary Elizabeth Hudson,,"Bookplate within Hubert, Francis. Egypts favorite. 1631",Solo;Bookplate,3015097,,,PUL HSVR,3331269,Image;StillImage,image/jpeg,eng,,
4167236,rht17th-364.jpg,,,"Elizabeth Guyon given me by my aunt Alice Abdy, November the 14th 1682",Elizabeth Guyon,1682,"Inscription within Malory, Thomas, Sir. The most ancient and famous history of the renowned Prince Arthur. 1634",Solo;Inscription,3866302,,,PUL HSVR,4167236,Image;StillImage,image/jpeg,eng,,
3303153,rht17th-516.jpg,,,"""Ex Libris - Hannah D. Rabinowitz.""",Hannah D. Rabinowitz,,"Bookplate within Shakespeare, William. The late and much admired play, called Pericles, Prince of Tyre. 1635",Solo;Bookplate,2987446,,,PUL HSVR,3303153,Image;StillImage,image/jpeg,eng,,
3330748,rht17th-557.jpg,,,"""The Library of David and Lulu Borowitz.""",Lulu Borowitz,,"Bookplate within Tatham, John. The fancies theater. 1640",Family;Bookplate,3014581,,,PUL HSVR,3330748,Image;StillImage,image/jpeg,eng,,
3303493,rht17th-552.jpg,,,Mary Luth[...],Mary Luth[...],,"Inscription within Suckling, John. Fragmenta Avrea. 1648",Solo;Inscription,2987784,,,PUL HSVR,3303493,Image;StillImage,image/jpeg,eng,,
3303525,rht17th-468.jpg,,,"""Ex Libris - Hannah D. Rabinowitz.""",Hannah D. Rabinowitz,,"Bookplate within Wincoll, Thomas. Plantagenets tragicall story. 1649",Solo;Bookplate,2987816,,,PUL HSVR,3303525,Image;StillImage,image/jpeg,eng,,
3323280,rht17th-542.jpg,,,Mrs Eliza Symonds,Eliza Symonds,,"Inscription within Stanley, Thomas. Poems. 1651",Solo;Inscription,3007211,,,PUL HSVR,3323280,Image;StillImage,image/jpeg,eng,,
3321145,rht17th-337.jpg,,,"""Ex Libris - Hannah D. Rabinowitz.""",Hannah D. Rabinowitz,,"Bookplate within Jonson, Ben. The Widdow. 1652",Solo;Bookplate,3005106,,,PUL HSVR,3321145,Image;StillImage,image/jpeg,eng,,
4125037,rht17th-246.jpg,,,Mary Elizabeth Hudson,Mary Elizabeth Hudson,,"Bookplate within Fletcher, John. The faithfull shepherdesse. 1656",Solo;Bookplate,3819731,,,PUL HSVR,4125037,Image;StillImage,image/jpeg,eng,,
3203194,rht17th-242.jpg,,,"Maria Walker, 1731",Maria Walker,1737,"Inscription within Flecknoe, Richard. The diarium, or journall. 1656",Solo;Inscription,2889223,,,PUL HSVR,3203194,Image;StillImage,image/jpeg,eng,,
3321563,rht17th-584.jpg,,,"""The Library of David and Lulu Borowitz.""",Lulu Borowitz,,"Bookplate within Vine, Robert. New court-songs, and poems. 1672",Family;Bookplate,3005518,,,PUL HSVR,3321563,Image;StillImage,image/jpeg,eng,,
,,,,,,,,,,,,,,Image;StillImage,image/jpeg,eng,,
